id;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;Left-Hippocampus;Left-Amygdala;Left-Accumbens-area;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula
D1;2,152931;1,323857;2,056534;2,520326;0,7111909;1,983063;2,064331;2,297081;1,394664;2,059752;2,617038;0,7352069;2,051614;1,989159;0,5203035;0,8126249;0,3453534;0,5777178;0,7655456;0,5443203;0,3899559;0,4086667;0,5800908;0,3856732;0,6468561;0,5592803;0,777723;0,4250449;0,6393725;0,5223365;0,5082456;0,2929233;0,4247919;0,5495642;0,4635312;0,7446643;0,4481164;0,5131185;0,8587792;0,4640307;0,3936471;0,3583619;0,5957387;0,3908058;0,4497003;0,7529616;0,7635899;1,036657;0,5283864;0,7268422;0,3181;0,5909024;0,9023716;0,5029216;0,3484691;0,4135615;0,5218677;0,3487256;0,6053874;0,5230849;0,6583164;0,4378594;0,7080667;0,5521967;0,4561883;0,3541741;0,4132838;0,5891929;0,4336325;0,7223546;0,3824522;0,5370308;0,8509172;0,4026833;0,3841699;0,3644852;0,5984573;0,4069326;0,5129151;0,8751901;0,6772687;1,016207
D10;2,366674;1,884328;2,766188;3,011761;0,9275723;2,608263;2,731278;2,741551;1,92165;2,779853;2,563298;0,9593631;3,052912;2,254853;0,7698718;1,168103;0,3855786;0,7491839;0,7956436;0,5600365;0,4705532;0,481745;0,7672876;0,5612325;0,7678862;0,7567595;0,9199762;0,5936443;0,6762617;0,7098376;0,5887905;0,405385;0,575945;1,03859;0,6739866;0,9054684;0,5546573;0,700453;1,095504;0,480588;0,532984;0,4743723;0,8351012;0,5725756;0,6544545;0,9266514;1,117476;1,353548;0,7234347;0,98253;0,3303575;0,8200494;0,7336499;0,6212641;0,4907237;0,4824462;0,758295;0,5694637;0,7560229;0,7146578;0,8230872;0,6074735;0,7271017;0,7301038;0,607729;0,3895247;0,5474605;0,9173164;0,6432447;0,9580003;0,4642456;0,7177281;1,196429;0,452809;0,4932477;0,4816242;0,9102306;0,584101;0,575254;0,911899;1,102007;1,306289
D11;2,067591;1,851322;2,463703;2,897715;0,5610079;1,882865;2,237499;2,399124;1,942679;2,530238;2,546861;0,5321925;1,657165;2,26735;0,6189005;0,9126908;0,4011395;0,6800328;0,7625436;0,5394499;0,3996036;0,4205429;0,5988728;0,4899369;0,7614791;0,6621798;0,8522556;0,4573556;0,7724953;0,5025521;0,6722126;0,4706943;0,6485924;0,9174941;0,5821666;0,7677837;0,4639214;0,4825671;0,8911904;0,6052528;0,4452492;0,2856571;0,6918156;0,4442155;0,6628905;0,7952994;0,9680949;1,140651;0,59508;0,8389126;0,3759295;0,5906321;0,8072944;0,5327379;0,3584818;0,4683126;0,4922498;0,454491;0,7240326;0,6042465;0,7184611;0,4194297;0,6541463;0,4643652;0,6135351;0,4630189;0,6249881;0,8411749;0,4820031;0,7404362;0,4007128;0,4008507;0,9080301;0,5409057;0,4411244;0,2410462;0,6868389;0,4690392;0,539615;0,846878;0,8878357;1,067145
D12;2,267793;2,011256;2,598229;2,922411;0,621719;1,81744;2,457325;2,587069;2,111361;2,580436;2,524277;0,6393031;1,829947;2,116325;0,6032146;0,9332807;0,4765473;0,7440309;0,6687805;0,5121243;0,4453777;0,4286699;0,6443904;0,5128853;0,7557505;0,6882016;0,7620368;0,4056912;0,7305509;0,6135432;0,6321942;0,5189627;0,639343;0,9226847;0,6023744;0,8824518;0,5094983;0,5589311;0,8744555;0,5909943;0,5120935;0,3702299;0,6140906;0,4873323;0,5018975;0,8513819;1,025543;1,208716;0,4978078;0,8054239;0,4324424;0,6242042;0,9337718;0,5031492;0,4068492;0,4206917;0,6096283;0,4978166;0,7159138;0,6022034;0,6797899;0,4277527;0,6228023;0,6062443;0,5724182;0,4693258;0,6073944;0,8741211;0,5208976;0,8939607;0,4574146;0,4925951;0,9201543;0,5245085;0,4694766;0,3285469;0,5880346;0,498966;0,4974073;0,8460759;0,9327716;1,07657
D13;1,849162;1,40871;1,947103;1,769995;0,683224;2,247928;2,380199;2,045984;1,44659;1,935335;1,586054;0,6754505;2,103236;2,032616;0,6165323;0,8928865;0,3923231;0,8162507;0,988627;0,6573375;0,4178324;0,4160595;0,6641289;0,4987292;0,5559358;0,6617041;0,7313143;0,485993;0,718247;0,6443879;0,6109844;0,3115362;0,4898162;0,7432681;0,562469;0,9965255;0,4648718;0,6244663;0,7881374;0,4491485;0,3782187;0,4883204;0,699067;0,4860091;0,3203275;0,8748791;0,8247222;1,120569;0,6502703;0,759253;0,3097942;0,7622938;0,8748901;0,6117114;0,4586101;0,4033503;0,746186;0,5145105;0,5508295;0,6136481;0,5828775;0,4528859;0,8007987;0,7126077;0,5029077;0,3327881;0,4701228;0,79889;0,4997644;0,9351975;0,4135222;0,6688378;0,8053969;0,4271902;0,3477191;0,4645245;0,6374349;0,4997713;0,415593;0,7971543;0,7744703;1,025606
D14;1,734587;1,358072;1,880517;1,598338;0,56334;1,918007;1,983225;1,822319;1,382402;1,866272;1,410805;0,5953708;1,906634;1,588795;0,6149431;0,842947;0,3487169;0,7311068;0,9918917;0,6083798;0,4384556;0,4092459;0,6188572;0,4704408;0,5088913;0,6252845;0,6661442;0,4876008;0,6490742;0,6020299;0,5939445;0,315583;0,4669269;0,7514138;0,5293752;0,9053748;0,4357027;0,5968249;0,7389535;0,4418817;0,3531918;0,4652754;0,634528;0,4885153;0,2972832;0,7775176;0,8168444;1,026393;0,5841162;0,7376934;0,2631829;0,76369;0,8571897;0,5573764;0,4393127;0,3609632;0,6291191;0,4729863;0,5227265;0,5660641;0,539504;0,4182782;0,6197971;0,6520419;0,4480501;0,2899785;0,4737174;0,7234068;0,4339666;0,8780302;0,3670784;0,6502273;0,775974;0,4048984;0,330855;0,4284266;0,5768442;0,4365657;0,3874212;0,7632475;0,7240857;0,9793779
D15;1,906551;1,653328;2,032895;2,415637;0,7997241;2,09021;1,873426;2,090946;2,040133;2,119112;2,084939;0,8207385;2,101004;2,001221;0,7217153;0,9116081;0,3872371;0,763102;1,051355;0,6646225;0,4641226;0,4363222;0,5712404;0,5180264;0,7160157;0,7116225;0,8693665;0,5070894;0,7429068;0,5698116;0,6231803;0,4189106;0,6614456;0,8533599;0,6201367;0,7908218;0,4661371;0,5275538;0,8740867;0,5619857;0,4548686;0,3771058;0,8283524;0,5170725;0,5713969;0,8024592;1,069644;1,157738;0,6286227;0,9802977;0,3738493;0,7533359;1,164395;0,6841831;0,3968871;0,4815764;0,5883559;0,480339;0,7263627;0,6065394;0,6817303;0,498984;0,9941718;0,6329646;0,5038278;0,3895436;0,48989;0,7681654;0,5565267;0,7303589;0,4361188;0,518353;1,01497;0,4531009;0,4632238;0,3482616;0,8374845;0,48176;0,5282163;1,053632;1,072259;1,130259
D16;1,733444;1,624173;1,92952;1,981905;0,7053241;1,968606;1,978627;1,999119;1,877418;2,029516;1,888352;0,7671367;1,810157;1,816496;0,5910596;0,8845069;0,4198901;0,6818031;1,09616;0,627086;0,4396289;0,395787;0,6197272;0,4321786;0,705017;0,6341942;0,8293892;0,4772102;0,6503167;0,5568339;0,572464;0,410836;0,6054088;0,8552077;0,5802376;0,7806842;0,4728028;0,5126974;0,8820177;0,533332;0,4722439;0,3647269;0,7220225;0,4967836;0,5528385;0,7956219;0,9857807;1,1176;0,5704962;0,9966297;0,3492049;0,7032234;1,058403;0,6289254;0,3906752;0,4661779;0,6259145;0,4185684;0,7235667;0,5699615;0,6716167;0,4661019;0,8437878;0,657456;0,515751;0,431741;0,4996848;0,7427144;0,5446563;0,7838596;0,442179;0,5082756;0,8909132;0,4700132;0,4776296;0,3390763;0,7508361;0,4446107;0,5384966;1,048539;1,052415;1,047249
D18;1,633088;1,685026;2,316226;1,839881;0,7263431;1,803421;2,004326;1,7315;1,704095;2,236833;1,531271;0,6536559;1,616658;1,862498;0,698291;1,055168;0,482016;0,8385445;0,8154415;0,6260107;0,507152;0,506232;0,6858668;0,5978357;0,6392263;0,7405085;0,6911187;0,4965887;0,8019427;0,6934338;0,6917841;0,3637935;0,634367;0,7926748;0,7492623;0,9263082;0,5493782;0,6362766;0,8950667;0,5205929;0,5156082;0,5577676;0,7849156;0,614127;0,4479976;0,8938827;1,070276;1,213462;0,6517324;0,923935;0,4034838;0,8617655;0,9500148;0,6642529;0,4705653;0,4991759;0,741609;0,5809651;0,6396884;0,7014706;0,6282948;0,4819776;0,8930404;0,7770336;0,5926245;0,4161482;0,6423324;0,8346833;0,7002377;0,948702;0,4760533;0,7238841;0,8630795;0,4628638;0,4711131;0,580056;0,7641025;0,5427972;0,4673851;1,016283;0,9341907;1,207808
D19;1,875038;1,749378;2,276068;2,616801;0,6900668;2,229393;1,982205;2,038839;2,11515;2,322713;2,24141;0,7082195;2,140283;2,119615;0,7156343;0,9786773;0,4110462;0,8262283;1,012099;0,6734656;0,5185061;0,4670345;0,6822689;0,5608487;0,6322325;0,7543165;0,7968736;0,514222;0,6987917;0,6027812;0,572905;0,3565707;0,5363345;0,8778351;0,6034592;0,9369444;0,4371053;0,6198374;0,7901818;0,5352863;0,4546022;0,5146504;0,7573348;0,529078;0,4704706;0,7563899;1,10593;1,122952;0,6648874;0,8857454;0,4217783;0,7561302;0,8022343;0,6791761;0,5048147;0,4873562;0,7065974;0,5623053;0,6509357;0,6398689;0,6779997;0,5508998;0,7300857;0,6294945;0,606045;0,3813332;0,5808467;0,8416268;0,6107072;0,9224598;0,4417476;0,6486078;0,9331568;0,4842041;0,4381431;0,4649655;0,7853146;0,5704629;0,4478909;0,9283352;1,076998;1,163357
