id;Left-Thalamus-Proper;Left-Caudate;Left-Putamen;Left-Pallidum;Left-Hippocampus;Left-Amygdala;Left-Accumbens-area;Right-Thalamus-Proper;Right-Caudate;Right-Putamen;Right-Pallidum;Right-Hippocampus;Right-Amygdala;Right-Accumbens-area;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula;bankssts;caudalanteriorcingulate;caudalmiddlefrontal;cuneus;entorhinal;fusiform;inferiorparietal;inferiortemporal;isthmuscingulate;lateraloccipital;lateralorbitofrontal;lingual;medialorbitofrontal;middletemporal;parahippocampal;paracentral;parsopercularis;parsorbitalis;parstriangularis;pericalcarine;postcentral;posteriorcingulate;precentral;precuneus;rostralanteriorcingulate;rostralmiddlefrontal;superiorfrontal;superiorparietal;superiortemporal;supramarginal;frontalpole;temporalpole;transversetemporal;insula
D1;2,135337;1,293028;2,090829;2,73083;0,7216777;2,034128;2,013421;2,299089;1,371401;2,085745;2,863252;0,755163;2,126967;1,966211;0,5261961;0,8264264;0,3340763;0,5712258;0,8018891;0,5655197;0,3867343;0,4268475;0,5857655;0,4023546;0,6509348;0,5673709;0,7837111;0,4378371;0,6558118;0,5295783;0,5037251;0,3097667;0,4343116;0,5492609;0,4621838;0,7667167;0,4444481;0,5070787;0,8430335;0,4568708;0,384006;0,3552347;0,5991787;0,3872849;0,4379376;0,7767258;0,7676697;1,057067;0,5224714;0,7540834;0,305552;0,5814063;0,9717498;0,5250435;0,3465256;0,4324584;0,5230074;0,3651592;0,6129801;0,5282381;0,6613703;0,4410045;0,7394295;0,5551081;0,4549887;0,3689098;0,4019107;0,5821093;0,4293934;0,7315021;0,375054;0,5265331;0,8618452;0,3873327;0,3738976;0,3683364;0,5969846;0,4003003;0,5081235;0,9123725;0,6610092;1,016224
D10;2,357864;1,914125;2,800295;3,193483;1,006475;2,674338;2,61401;2,778546;1,97534;2,804329;2,960356;1,020955;3,128097;2,117911;0,7776286;1,193953;0,3712135;0,8013248;0,8897778;0,5952004;0,4877878;0,5109358;0,7524601;0,6292524;0,7718742;0,7726149;0,9341515;0,6026747;0,7656082;0,7058239;0,5908704;0,4184234;0,5712941;1,065763;0,6749157;0,9125087;0,5536025;0,7007852;1,115851;0,4693853;0,5268728;0,4938438;0,8565368;0,5773765;0,6181025;0,9130322;1,133395;1,370593;0,7297825;0,9988692;0,3234478;0,8445223;0,7227388;0,6251975;0,5158061;0,4898928;0,7161694;0,6249827;0,7482013;0,6944355;0,8244587;0,6182159;0,6930993;0,7263806;0,6030853;0,4067253;0,5352218;0,9431964;0,6483535;0,9626597;0,4610679;0,7273737;1,228771;0,4452017;0,4869136;0,5051218;0,9179338;0,5976331;0,5577289;0,8949362;1,124824;1,317041
D11;1,995313;1,717038;2,42717;2,865312;0,5811138;1,860182;2,021074;2,294522;1,888855;2,456747;2,636501;0,544016;1,6316;2,133881;0,6126221;0,9026978;0,3956161;0,7017523;0,7914218;0,5558016;0,4136146;0,4396572;0,5798138;0,5147088;0,7553658;0,6412066;0,8424431;0,4693046;0,7674845;0,5066006;0,6744513;0,4886978;0,6596985;0,9145928;0,584855;0,7520668;0,4608979;0,4851005;0,8774759;0,5927926;0,4330316;0,2945792;0,69158;0,4594337;0,6058386;0,7748004;0,9507742;1,135359;0,5903424;0,8317103;0,3648312;0,5900133;0,8710405;0,5470653;0,3688324;0,468305;0,4880572;0,4742118;0,7148534;0,5863739;0,7094708;0,4136028;0,6790268;0,4716154;0,6024813;0,4596171;0,5963816;0,841328;0,4814473;0,7277584;0,3958692;0,4015738;0,8902024;0,5089062;0,4277517;0,2540019;0,6719853;0,4728707;0,540739;0,8431286;0,8933567;1,047561
D12;2,277248;2,077965;2,613925;3,123323;0,6500473;1,942995;2,378622;2,651276;2,132351;2,629553;2,748779;0,6733753;1,927425;2,021411;0,6015489;0,9478745;0,4724915;0,7460704;0,7131174;0,5192479;0,4438171;0,4274197;0,6468712;0,5292963;0,7281282;0,6901445;0,7586373;0,4042811;0,7570538;0,6129846;0,6238657;0,4993287;0,6249592;0,9185461;0,5912762;0,8894445;0,4981726;0,5555153;0,8669094;0,5771618;0,5027596;0,3752887;0,6158642;0,4812485;0,4989005;0,8394731;1,030034;1,224257;0,5007919;0,8136314;0,4190546;0,6203145;0,9671351;0,5170141;0,4082399;0,4328106;0,6075363;0,521694;0,701059;0,5924506;0,6725719;0,4365608;0,6328584;0,606935;0,5696349;0,4910635;0,6038964;0,8757707;0,5225769;0,9088911;0,4527742;0,4825351;0,9169738;0,513883;0,4586285;0,3296957;0,5983332;0,498277;0,4880013;0,8375577;0,9436443;1,09708
D13;1,774096;1,371677;1,876662;1,661973;0,6850315;2,121365;2,207302;1,943368;1,40848;1,881151;1,52843;0,6834176;1,99082;1,915471;0,6159467;0,8771184;0,3896977;0,8127417;0,9956964;0,6659282;0,4273032;0,424244;0,6486762;0,5138939;0,5635198;0,6551165;0,7279784;0,488716;0,7383785;0,6422357;0,6112008;0,3189831;0,4960247;0,7505967;0,5678073;0,9847045;0,4669896;0,6204227;0,7741937;0,4450134;0,3773576;0,496387;0,6930864;0,4878298;0,3158576;0,8368204;0,817272;1,095302;0,6501404;0,7478605;0,3106708;0,7759505;0,914125;0,6116708;0,4614617;0,4116897;0,7277985;0,5253904;0,5608062;0,603711;0,5821018;0,4478597;0,8266473;0,7153955;0,5028758;0,3431397;0,4803945;0,7928799;0,4994638;0,921063;0,4101416;0,6685171;0,8110356;0,4227549;0,3461653;0,4696878;0,6262668;0,4999814;0,4025195;0,7553893;0,7712626;1,002288
D14;1,778094;1,423059;1,915616;1,770306;0,5815361;1,911621;1,799244;1,888215;1,438016;1,884172;1,615706;0,6382462;1,989171;1,395099;0,6242897;0,8515142;0,360474;0,7480043;1,029285;0,6231747;0,4615283;0,4118484;0,6191872;0,4955289;0,5004075;0,6220892;0,6682196;0,485464;0,6460874;0,6261144;0,5995848;0,3134865;0,4678472;0,7649447;0,5519935;0,9113358;0,4447425;0,6145855;0,7591796;0,4504596;0,3663652;0,4961406;0,6446024;0,5077556;0,3061306;0,7708055;0,8342679;1,05327;0,6052609;0,7530779;0,2791792;0,7830236;0,8778813;0,5706929;0,4608593;0,3635688;0,6180552;0,4977146;0,5256158;0,5645386;0,5507898;0,4264873;0,62094;0,6727035;0,4557542;0,2980634;0,4842373;0,7362874;0,4555339;0,8799581;0,3796249;0,6675879;0,8084606;0,416846;0,344322;0,4552472;0,5907834;0,4553227;0,3808949;0,7290807;0,7293446;1,002024
D15;1,93205;1,745883;2,074266;2,90794;0,8231997;2,174501;1,875058;2,17967;2,065452;2,165692;2,304203;0,8653966;2,141865;1,824665;0,7463311;0,9159585;0,4095372;0,8178301;0,9568373;0,6590848;0,4867242;0,4346609;0,5708607;0,5255608;0,7276655;0,7058354;0,8887237;0,5019936;0,7257996;0,6186727;0,6294756;0,4259415;0,671197;0,875236;0,6445705;0,7866001;0,4910792;0,555817;0,8973661;0,5816995;0,48326;0,416348;0,8304062;0,5355011;0,600522;0,772984;1,082875;1,19477;0,6494793;1,004771;0,4052069;0,7857449;1,041486;0,676885;0,4291511;0,5024928;0,5988918;0,5204941;0,7613171;0,5964342;0,7078224;0,5265707;1,0127;0,6728725;0,5391936;0,4238767;0,5393747;0,7817778;0,6110227;0,7402559;0,4729967;0,5423508;1,066359;0,4899243;0,4894581;0,3832969;0,8699326;0,5175797;0,5477556;0,9969865;1,129115;1,157029
D16;1,762862;1,676574;1,980643;2,267908;0,7247912;2,007612;1,97261;2,064309;1,914115;2,081013;2,112835;0,794654;1,776132;1,672613;0,6080483;0,8658103;0,4334511;0,7257245;1,077387;0,6353014;0,4599607;0,3997431;0,610004;0,4605257;0,707507;0,6298643;0,8478232;0,4795756;0,6403936;0,5919244;0,5750055;0,3978804;0,6053852;0,860093;0,6005739;0,7807813;0,4869807;0,5293964;0,8945291;0,5446297;0,4931048;0,3941559;0,7278331;0,5151827;0,5553159;0,7801608;0,9899822;1,145903;0,5806084;1,041143;0,3647488;0,7400881;1,021754;0,6483236;0,4136515;0,4789931;0,620211;0,4551661;0,731594;0,5700163;0,6863113;0,4790779;0,86525;0,6965903;0,5343005;0,4444422;0,5210676;0,7605197;0,5820225;0,7796467;0,463146;0,5266756;0,9362316;0,4850595;0,4971311;0,3587869;0,7732143;0,4734589;0,5371716;1,001964;1,09118;1,070601
D18;1,63614;1,751047;2,326738;1,961679;0,751978;1,839148;1,951112;1,768864;1,771079;2,232813;1,508281;0,6681101;1,635286;1,745926;0,7100124;1,030489;0,5073223;0,8592106;0,8396716;0,6390971;0,527308;0,5190575;0,6924549;0,6133286;0,6677381;0,7560095;0,7102143;0,5046619;0,8320683;0,7191963;0,7061721;0,4083643;0,6656339;0,8058355;0,7729053;0,9355361;0,576036;0,6553473;0,9167284;0,5474031;0,5417648;0,5898901;0,796265;0,6370709;0,4390351;0,8842763;1,090197;1,234523;0,6511511;0,9221624;0,4273357;0,8829132;0,9605078;0,6570484;0,4931246;0,5102615;0,7469395;0,6030582;0,6628739;0,6822979;0,642809;0,4974068;0,9333651;0,8100988;0,6128718;0,439273;0,65923;0,8514881;0,7381733;0,9391226;0,5070959;0,7450676;0,8827826;0,4821746;0,4955866;0,6098909;0,7824285;0,568743;0,4869857;1,015624;0,9381224;1,215106
D19;1,903327;1,723182;2,302787;2,600756;0,7109253;2,1926;1,772592;2,058544;2,229545;2,340772;2,479034;0,7420138;2,180935;2,069632;0,7150852;1,042572;0,4313194;0,870287;0,9651286;0,679644;0,5443102;0,4756045;0,6548232;0,5699965;0,6499832;0,7113086;0,8234554;0,5352891;0,6700098;0,6345628;0,5919773;0,4185589;0,5610416;0,8755273;0,635405;0,9433867;0,4567707;0,6378066;0,8309998;0,5530104;0,4680201;0,5540877;0,7725495;0,5539757;0,4492238;0,6962387;1,120865;1,137462;0,6710257;0,888042;0,44221;0,7679513;0,8308925;0,6682221;0,5274114;0,5030952;0,6760569;0,5791064;0,673032;0,5989394;0,6984826;0,5627419;0,6942734;0,6525391;0,6257313;0,4121987;0,5959057;0,8521433;0,6428369;0,9192697;0,4684161;0,6787623;0,9161124;0,4932354;0,4565181;0,493826;0,8015384;0,5998181;0,4376267;0,9424538;1,080537;1,188727
