"","region","Var1","Var2","value"
"1","amygdala","pipeline 1","pipeline 1",1
"2","amygdala","pipeline 2","pipeline 1",0.998413783078926
"3","amygdala","pipeline 3","pipeline 1",0.997578035925798
"4","amygdala","pipeline 4","pipeline 1",0.996609856043543
"5","amygdala","pipeline 5","pipeline 1",0.749170709253481
"6","amygdala","pipeline 6","pipeline 1",0.726536561383202
"7","amygdala","pipeline 7","pipeline 1",0.888737187903156
"8","amygdala","pipeline 8","pipeline 1",0.746642926624535
"9","amygdala","pipeline 1","pipeline 2",0.998413783078926
"10","amygdala","pipeline 2","pipeline 2",1
"11","amygdala","pipeline 3","pipeline 2",0.996265647941795
"12","amygdala","pipeline 4","pipeline 2",0.997556878510191
"13","amygdala","pipeline 5","pipeline 2",0.750117432077644
"14","amygdala","pipeline 6","pipeline 2",0.723823536597388
"15","amygdala","pipeline 7","pipeline 2",0.880214118290032
"16","amygdala","pipeline 8","pipeline 2",0.747591884369501
"17","amygdala","pipeline 1","pipeline 3",0.997578035925798
"18","amygdala","pipeline 2","pipeline 3",0.996265647941795
"19","amygdala","pipeline 3","pipeline 3",1
"20","amygdala","pipeline 4","pipeline 3",0.99801852473462
"21","amygdala","pipeline 5","pipeline 3",0.735415344843297
"22","amygdala","pipeline 6","pipeline 3",0.713871909097329
"23","amygdala","pipeline 7","pipeline 3",0.888290062405931
"24","amygdala","pipeline 8","pipeline 3",0.732904541303251
"25","amygdala","pipeline 1","pipeline 4",0.996609856043543
"26","amygdala","pipeline 2","pipeline 4",0.997556878510191
"27","amygdala","pipeline 3","pipeline 4",0.99801852473462
"28","amygdala","pipeline 4","pipeline 4",1
"29","amygdala","pipeline 5","pipeline 4",0.729162261607173
"30","amygdala","pipeline 6","pipeline 4",0.704390953997069
"31","amygdala","pipeline 7","pipeline 4",0.87832552940489
"32","amygdala","pipeline 8","pipeline 4",0.726805988633447
"33","amygdala","pipeline 1","pipeline 5",0.749170709253481
"34","amygdala","pipeline 2","pipeline 5",0.750117432077644
"35","amygdala","pipeline 3","pipeline 5",0.735415344843297
"36","amygdala","pipeline 4","pipeline 5",0.729162261607173
"37","amygdala","pipeline 5","pipeline 5",1
"38","amygdala","pipeline 6","pipeline 5",0.962843765053921
"39","amygdala","pipeline 7","pipeline 5",0.679935409962613
"40","amygdala","pipeline 8","pipeline 5",0.999658259753263
"41","amygdala","pipeline 1","pipeline 6",0.726536561383202
"42","amygdala","pipeline 2","pipeline 6",0.723823536597388
"43","amygdala","pipeline 3","pipeline 6",0.713871909097329
"44","amygdala","pipeline 4","pipeline 6",0.704390953997069
"45","amygdala","pipeline 5","pipeline 6",0.962843765053921
"46","amygdala","pipeline 6","pipeline 6",1
"47","amygdala","pipeline 7","pipeline 6",0.760955258525967
"48","amygdala","pipeline 8","pipeline 6",0.964260563791423
"49","amygdala","pipeline 1","pipeline 7",0.888737187903156
"50","amygdala","pipeline 2","pipeline 7",0.880214118290032
"51","amygdala","pipeline 3","pipeline 7",0.888290062405931
"52","amygdala","pipeline 4","pipeline 7",0.87832552940489
"53","amygdala","pipeline 5","pipeline 7",0.679935409962612
"54","amygdala","pipeline 6","pipeline 7",0.760955258525967
"55","amygdala","pipeline 7","pipeline 7",1
"56","amygdala","pipeline 8","pipeline 7",0.68044554659256
"57","amygdala","pipeline 1","pipeline 8",0.746642926624536
"58","amygdala","pipeline 2","pipeline 8",0.747591884369501
"59","amygdala","pipeline 3","pipeline 8",0.732904541303251
"60","amygdala","pipeline 4","pipeline 8",0.726805988633447
"61","amygdala","pipeline 5","pipeline 8",0.999658259753263
"62","amygdala","pipeline 6","pipeline 8",0.964260563791423
"63","amygdala","pipeline 7","pipeline 8",0.68044554659256
"64","amygdala","pipeline 8","pipeline 8",1
"65","thalamus","pipeline 1","pipeline 1",1
"66","thalamus","pipeline 2","pipeline 1",0.998945761237764
"67","thalamus","pipeline 3","pipeline 1",0.997646811187784
"68","thalamus","pipeline 4","pipeline 1",0.996782863960247
"69","thalamus","pipeline 5","pipeline 1",0.879087300327414
"70","thalamus","pipeline 6","pipeline 1",0.776764110465235
"71","thalamus","pipeline 7","pipeline 1",0.894381688748563
"72","thalamus","pipeline 8","pipeline 1",0.879639713215877
"73","thalamus","pipeline 1","pipeline 2",0.998945761237764
"74","thalamus","pipeline 2","pipeline 2",1
"75","thalamus","pipeline 3","pipeline 2",0.996886914545634
"76","thalamus","pipeline 4","pipeline 2",0.997790923847474
"77","thalamus","pipeline 5","pipeline 2",0.878095980130365
"78","thalamus","pipeline 6","pipeline 2",0.77402837792816
"79","thalamus","pipeline 7","pipeline 2",0.891995357129889
"80","thalamus","pipeline 8","pipeline 2",0.878604247021621
"81","thalamus","pipeline 1","pipeline 3",0.997646811187784
"82","thalamus","pipeline 2","pipeline 3",0.996886914545634
"83","thalamus","pipeline 3","pipeline 3",1
"84","thalamus","pipeline 4","pipeline 3",0.99849949374675
"85","thalamus","pipeline 5","pipeline 3",0.874920812458374
"86","thalamus","pipeline 6","pipeline 3",0.771979325788601
"87","thalamus","pipeline 7","pipeline 3",0.891304542958092
"88","thalamus","pipeline 8","pipeline 3",0.875451555631411
"89","thalamus","pipeline 1","pipeline 4",0.996782863960247
"90","thalamus","pipeline 2","pipeline 4",0.997790923847474
"91","thalamus","pipeline 3","pipeline 4",0.99849949374675
"92","thalamus","pipeline 4","pipeline 4",1
"93","thalamus","pipeline 5","pipeline 4",0.870888855647238
"94","thalamus","pipeline 6","pipeline 4",0.766256550921463
"95","thalamus","pipeline 7","pipeline 4",0.889402419423779
"96","thalamus","pipeline 8","pipeline 4",0.871414401568615
"97","thalamus","pipeline 1","pipeline 5",0.879087300327414
"98","thalamus","pipeline 2","pipeline 5",0.878095980130365
"99","thalamus","pipeline 3","pipeline 5",0.874920812458374
